"","x"
"murJ",296
"flgN",629
"flgM",287
"flgA",362
"flgB",488
"flgC",679
"flgD",1436
"flgE",2514
"flgF",1081
"flgG",1116
"flgH",411
"flgI",330
"flgJ",223
"flgK",2090
"flgL",2361
"rne",4762
"yceQ",237
"rluC",394
"yceF",398
"psrD",61
"yceD",3793
"rpmF",4374
"plsX",2026
"fabH",1825
"fabD",2367
"fabG",3354
"acpP",6659
"fabF",3995
"pabC",142
"yceG",200
"tmk",241
"holB",246
"ycfH",337
"ptsG",7780
"fhuE",3801
"hinT",405
"ycfL",433
"lpoB",835
"thiK",261
"nagZ",486
"ycfP",707
"ndh",1485
"ycfJ",69
"ycfQ",218
"bhsA",36
"ldtC",124
"mfd",1655
"ycfT",18
"lolC",468
"lolD",293
"lolE",513
"nagK",574
"cobB",439
"ycfZ",42
"ymfA",23
"potD",2410
"potC",246
"potB",382
"potA",683
"pepT",943
"roxA",1075
"phoQ",738
"phoP",815
"purB",1884
"hflD",600
"mnmA",1036
"nudJ",124
"rluE",119
"icd",26370
"ymfD",31
"ymfE",46
"lit",90
"intE",54
"xisE",6
"ymfI",96
"ymfJ",45
"cohE",273
"croE",5
"ymfL",9
"ymfM",6
"oweE",1
"aaaE",26
"ymfR",4
"beeE",6
"jayE",7
"ymfQ",10
"stfP",14
"tfaP",22
"tfaE",19
"stfE",14
"pinE",12
"mcrA",87
"icdC",10
"iraM",13
"ycgX",17
"bluR",322
"bluF",109
"ycgZ",27
"ymgA",39
"ariR",15
"ymgC",14
"ycgG",34
"ymgF",7
"ycgH",110
"ymgD",44
"ymgG",35
"ymgI",5
"ymgJ",16
"ycgI",13
"minE",691
"minD",2035
"minC",1081
"ycgJ",183
"pliG",1978
"ycgL",275
"ycgM",558
"ycgN",207
"hlyE",40
"umuD",16
"umuC",67
"dsbB",341
"nhaB",843
"fadR",325
"ycgB",482
"dadA",714
"dadX",478
"cvrA",343
"ldcA",301
"emtA",376
"ycgR",1305
"ymgE",47
"ycgY",18
"treA",97
"dhaM",1003
"dhaL",350
"dhaK",660
"dhaR",156
"ycgV",193
"ychF",928
"pth",168
"ychH",235
"dauA",205
"prs",4424
"ispE",596
"lolB",416
"hemA",511
"prfA",379
"prmC",136
"ychQ",41
"ychA",523
"kdsA",1498
"ldrA",0
"rdlA",45
"ldrB",7
"rdlB",0
"ldrC",0
"rdlC",2
"chaA",493
"chaB",28
"chaC",299
"ychN",271
"ychO",158
"narL",461
"narX",265
"narK",83
"narG",324
"narH",144
"narJ",38
"narI",49
"rttR",9
"tpr",0
"tyrV",52
"tyrT",58
"purU",1437
"ychJ",228
"rssA",431
"rssB",375
"galU",1317
"hns",2306
"tdk",170
"insZ",92
"adhE",41423
"ychE",64
"oppA",32422
"oppB",2446
"oppC",1475
"oppD",2268
"oppF",2384
"yciU",349
"clsA",896
"yciY",87
"kch",206
"yciI",476
"tonB",1843
"yciA",134
"yciB",279
"yciC",240
"ompW",1151
"yciE",100
"yciF",50
"yciG",27
"trpA",1444
"trpB",1781
"trpC",1126
"trpD",1223
"trpE",1036
"trpL",13
"yciV",213
"yciO",301
"yciQ",179
"rluB",396
"btuR",196
"yciK",275
"sohB",966
"yciN",156
"topA",2520
"cysB",789
"ymiA",19
"yciX",83
"acnA",1093
"ribA",374
"pgpB",147
"yciS",201
"yciM",480
"pyrF",361
"yciH",173
"osmB",86
"yciT",680
"yciZ",50
"gmr",309
"ymiB",7
"rnb",2873
"yciW",632
"fabI",3648
"ycjD",20
"sapF",188
"sapD",326
"sapC",112
"sapB",166
"sapA",417
"ymjA",54
"puuP",66
"puuA",82
"puuD",48
"puuR",88
"puuC",50
"puuB",46
"puuE",57
"pspF",124
"pspA",602
"pspB",97
"pspC",111
"pspD",66
"pspE",201
"ycjM",24
"ycjN",12
"ycjO",10
"ycjP",9
"ycjQ",45
"ycjR",19
"ycjS",22
"ycjT",60
"ycjU",5
"ycjV",17
"ompG",16
"ycjW",81
"ycjX",264
"ycjF",219
"tyrR",881
"tpx",5629
"ycjG",282
"mpaA",254
"ymjC",15
"ymjD",2
"ycjY",46
"pgrR",100
"mppA",360
"ynaI",233
"ynaJ",314
"uspE",1824
"fnr",2102
"ogt",107
"abgT",33
"abgB",73
"abgA",34
"abgR",45
"mcaS",7
"smrA",135
"ydaM",313
"ydaN",348
"fnrS",126
"dbpA",179
"ttcA",320
"intR",58
"ydaQ",2
"ydaC",1
"ralA",0
"ralR",4
"recT",33
"recE",69
"racC",7
"ydaE",1
"kilR",9
"sieB",19
"ydaF",3
"ydaG",6
"racR",272
"ydaS",12
"ydaT",11
"ydaU",24
"ydaV",15
"ydaW",19
"rzpR",4
"rzoR",0
"trkG",171
"ynaK",6
"ydaY",17
"tmpR",28
"lomR",26
"stfR",80
"tfaR",1
"pinR",8
"ynaE",6
"ttcC",7
"uspF",474
"ompN",22
"micC",3
"pfo",826
"ydbJ",115
"hslJ",211
"ldhA",619
"ydbH",278
"ynbE",18
"ydbL",74
"feaR",40
"feaB",119
"tynA",65
"paaZ",17
"paaA",6
"paaB",1
"paaC",9
"paaD",12
"paaE",22
"paaF",12
"paaG",20
"paaH",39
"paaI",15
"paaJ",67
"paaK",75
"paaX",122
"paaY",97
"ynbG",9
"ydbA",936
"ydbC",110
"ydbD",57
"ynbA",9
"ynbB",29
"ynbC",51
"ynbD",78
"azoR",330
"hrpA",1142
"ydcF",377
"aldA",625
"gapC",1343
"cybB",388
"rydC",46
"ydcA",85
"hokB",29
"mokB",0
"sokB",2
"trg",287
"ydcI",194
"ydcJ",42
"opgD",775
"ydcH",37
"rimL",108
"ydcK",107
"tehA",124
"tehB",325
"ydcL",743
"insP",95
"insQ",292
"ydcO",30
"ydcN",31
"ydcP",582
"yncJ",24
"hicA",15
"hicB",105
"ydcR",271
"ydcS",68
"ydcT",25
"ydcU",38
"ydcV",24
"patD",233
"yncL",59
"ydcX",28
"ydcY",193
"ydcZ",184
"mnaT",222
"curA",264
"mcbR",67
"yncD",197
"yncE",12004
"ansP",126
"yncG",40
"yncH",14
"rhsE",25
"ydcD",20
"yncI",34
"ydcC",19
"pptA",32
"yddH",87
"nhoA",82
"yddE",269
"narV",21
"narW",14
"narY",54
"narZ",127
"narU",17
"yddK",44
"yddL",10
"yddG",119
"fdnG",98
"fdnH",18
"fdnI",27
"yddM",91
"adhP",421
"maeA",1603
"sra",688
"bdm",11
"osmC",967
"ddpF",147
"ddpD",28
"ddpC",38
"ddpB",11
"ddpA",39
"ddpX",3
"dosP",347
"dosC",408
"yddW",245
"gadC",1647
"gadB",567
"pqqL",600
"yddB",580
"yddA",159
"ydeM",19
"ydeN",55
"ydeO",27
"safA",1
"ydeP",167
"ydeQ",19
"ydeR",7
"ydeS",11
"ydeT",15
"yneL",5
"hipA",253
"hipB",31
"yneO",520
"lsrK",94
"lsrR",78
"lsrA",33
"lsrC",19
"lsrD",19
"lsrB",40
"lsrF",64
"lsrG",35
"tam",147
"yneE",166
"uxaB",43
"yneF",68
"yneG",100
"glsB",219
"sad",361
"yneJ",70
"yneK",30
"ydeA",316
"marC",113
"marR",64
"marA",174
"marB",100
"eamA",316
"ydeE",82
"yneM",59
"mgrR",28
"dgcZ",77
"ydeI",30
"ydeJ",76
"dcp",1696
"ydfG",996
"rspR",353
"ydfZ",615
"ydfI",81
"ydfJ",469
"ydfK",0
"pinQ",0
"tfaQ",0
"stfQ",0
"nohQ",0
"ynfO",0
"ydfO",0
"gnsB",0
"ynfN",0
"cspI",0
"rzpQ",0
"rzoQ",0
"rrrQ",0
"ydfR",0
"essQ",0
"cspB",0
"cspF",0
"quuQ",0
"ydfU",0
"rem",0
"hokD",0
"relE",0
"relB",0
"ydfV",0
"flxA",0
"intK",0
"ydfX",0
"dicC",0
"dicA",0
"ydfA",0
"ydfB",0
"ydfC",0
"dicF",0
"dicB",0
"ydfD",0
"ydfE",0
"intQ",0
"rspB",36
"rspA",34
"ynfA",24
"ynfB",440
"speG",639
"ynfC",191
"ynfD",65
"ynfE",541
"ynfF",271
"ynfG",45
"ynfH",70
"dmsD",172
"clcB",80
"ynfK",574
"mlc",357
"ynfL",62
"ynfM",180
"asr",45
"ydgU",8
"ydgD",259
"mdtI",20
"mdtJ",8
"tqsA",79
"pntB",9159
"pntA",11522
"ydgH",1611
"ydgI",64
"folM",219
"ydgC",106
"rstA",402
"rstB",344
"tus",123
"fumC",206
"fumA",283
"manA",983
"ydgA",2051
"uidC",30
"uidB",23
"uidA",37
"uidR",198
"hdhA",1076
"malI",62
"malX",77
"malY",272
"add",310
"ydgJ",620
"blr",25
"cnu",63
"ydgK",143
"rsxA",97
"rsxB",104
"rsxC",418
"rsxD",96
"rsxG",86
"rsxE",62
"nth",107
"dtpA",161
"gstA",717
"pdxY",610
"tyrS",2715
"pdxH",531
"mliC",55
"anmK",342
"slyB",2925
"slyA",705
"ydhI",14
"ydhJ",43
"ydhK",108
"sodC",171
"ydhF",373
"ydhL",20
"nemR",36
"nemA",214
"gloA",554
"rnt",191
"lhr",585
"grxD",456
"mepH",185
"sodB",289
"ydhP",194
"ynhF",66
"purR",1214
"ydhB",114
"ydhC",105
"cfa",3663
"ribC",637
"mdtK",436
"ydhQ",965
"valV",3
"valW",10
"ydhR",671
"ydhS",252
"ydhT",33
"ydhU",33
"ydhX",34
"ydhW",27
"ydhV",45
"ydhY",9
"ydhZ",48
"pykF",4356
"lpp",15135
"ldtE",909
"sufE",285
"sufS",1058
"sufD",1336
"sufC",512
"sufB",1670
"sufA",339
"rydB",62
"ydiH",110
"menI",283
"ydiJ",1894
"ydiK",578
"rprA",6
"ydiL",5
"ydiM",12
"ydiN",10
"ydiB",17
"aroD",308
"ydiF",29
"ydiO",37
"ydiP",87
"ydiQ",9
"ydiR",28
"ydiS",26
"ydiT",11
"fadK",75
