"","x"
"ychF",534
"pth",85
"ychH",88
"dauA",70
"prs",2229
"ispE",344
"lolB",254
"hemA",283
"prfA",189
"prmC",61
"ychQ",19
"ychA",340
"kdsA",727
"ldrA",0
"rdlA",19
"ldrB",0
"rdlB",0
"ldrC",0
"rdlC",1
"chaA",214
"chaB",20
"chaC",89
"ychN",125
"ychO",93
"narL",234
"narX",122
"narK",28
"narG",119
"narH",53
"narJ",28
"narI",29
"rttR",4
"tpr",0
"tyrV",22
"tyrT",18
"purU",623
"ychJ",136
"rssA",215
"rssB",147
"galU",651
"hns",1755
"tdk",100
"insZ",43
"adhE",7328
"ychE",24
"oppA",16376
"oppB",1109
"oppC",817
"oppD",1005
"oppF",1049
"yciU",199
"clsA",483
"yciY",41
"kch",74
"yciI",278
"tonB",763
"yciA",48
"yciB",113
"yciC",116
"ompW",325
"yciE",18
"yciF",6
"yciG",4
"trpA",1239
"trpB",1794
"trpC",1106
"trpD",1083
"trpE",956
"trpL",9
"yciV",136
"yciO",156
"yciQ",74
"rluB",270
"btuR",91
"yciK",142
"sohB",543
"yciN",65
"topA",1449
"cysB",458
"ymiA",6
"yciX",23
"acnA",789
"ribA",220
"pgpB",111
"yciS",120
"yciM",202
"pyrF",259
"yciH",150
"osmB",37
"yciT",215
"yciZ",40
"gmr",113
"ymiB",7
"rnb",1584
"yciW",259
"fabI",1986
"ycjD",12
"sapF",87
"sapD",129
"sapC",44
"sapB",59
"sapA",187
"ymjA",24
"puuP",47
"puuA",216
"puuD",89
"puuR",90
"puuC",103
"puuB",76
"puuE",83
"pspF",74
"pspA",177
"pspB",32
"pspC",52
"pspD",12
"pspE",78
"ycjM",3
"ycjN",3
"ycjO",1
"ycjP",4
"ycjQ",18
"ycjR",9
"ycjS",15
"ycjT",23
"ycjU",3
"ycjV",3
"ompG",0
"ycjW",41
"ycjX",86
"ycjF",55
"tyrR",484
"tpx",2715
"ycjG",156
"mpaA",115
"ymjC",5
"ymjD",0
"ycjY",11
"pgrR",30
"mppA",188
"ynaI",51
"ynaJ",260
"uspE",847
"fnr",1052
"ogt",56
"abgT",11
"abgB",31
"abgA",19
"abgR",24
"mcaS",5
"smrA",36
"ydaM",106
"ydaN",145
"fnrS",46
"dbpA",79
"ttcA",222
"intR",30
"ydaQ",0
"ydaC",0
"ralA",0
"ralR",0
"recT",12
"recE",41
"racC",0
"ydaE",1
"kilR",0
"sieB",2
"ydaF",1
"ydaG",1
"racR",178
"ydaS",3
"ydaT",6
"ydaU",13
"ydaV",9
"ydaW",11
"rzpR",3
"rzoR",0
"trkG",59
"ynaK",3
"ydaY",7
"tmpR",14
"lomR",10
"stfR",26
"tfaR",1
"pinR",1
"ynaE",1
"ttcC",2
"uspF",166
"ompN",11
"micC",0
"pfo",340
"ydbJ",75
"hslJ",71
"ldhA",212
"ydbH",106
