"","x"
"oppD",3963
"oppF",4103
"yciU",407
"clsA",828
"yciY",65
"kch",161
"yciI",293
"tonB",1303
"yciA",100
"yciB",243
"yciC",256
"ompW",2263
"yciE",84
"yciF",41
"yciG",18
"trpA",2308
"trpB",3285
"trpC",2032
"trpD",2143
"trpE",1815
"trpL",11
"yciV",201
"yciO",319
"yciQ",166
"rluB",639
"btuR",192
"yciK",259
"sohB",889
"yciN",128
"topA",2618
"cysB",800
"ymiA",5
"yciX",52
"acnA",1287
"ribA",356
"pgpB",125
"yciS",192
"yciM",422
"pyrF",429
"yciH",220
"osmB",98
"yciT",558
"yciZ",40
"gmr",225
"ymiB",8
"rnb",3352
"yciW",548
"fabI",3772
"ycjD",28
"sapF",184
"sapD",299
"sapC",108
"sapB",139
"sapA",358
"ymjA",50
"puuP",78
"puuA",249
"puuD",76
"puuR",134
"puuC",151
"puuB",103
"puuE",111
"pspF",120
"pspA",263
"pspB",52
"pspC",78
"pspD",38
"pspE",162
"ycjM",11
"ycjN",6
"ycjO",9
"ycjP",10
"ycjQ",24
"ycjR",26
"ycjS",35
"ycjT",36
"ycjU",2
"ycjV",5
"ompG",12
"ycjW",50
"ycjX",238
"ycjF",176
"tyrR",923
"tpx",4063
"ycjG",281
"mpaA",206
"ymjC",7
"ymjD",2
"ycjY",33
"pgrR",76
"mppA",385
"ynaI",155
"ynaJ",371
"uspE",1807
"fnr",1951
"ogt",82
"abgT",16
"abgB",40
"abgA",18
"abgR",31
"mcaS",1
"smrA",117
"ydaM",224
"ydaN",263
"fnrS",246
"dbpA",177
"ttcA",472
"intR",41
"ydaQ",2
"ydaC",0
"ralA",0
"ralR",1
"recT",32
"recE",56
"racC",4
"ydaE",0
"kilR",0
"sieB",18
"ydaF",3
"ydaG",2
"racR",264
"ydaS",8
"ydaT",14
"ydaU",34
"ydaV",11
"ydaW",15
"rzpR",4
"rzoR",0
"trkG",142
"ynaK",10
"ydaY",8
"tmpR",33
"lomR",15
"stfR",51
"tfaR",0
"pinR",3
"ynaE",4
"ttcC",8
"uspF",556
"ompN",17
"micC",1
"pfo",1114
"ydbJ",117
"hslJ",249
"ldhA",596
"ydbH",247
"ynbE",21
"ydbL",68
"feaR",26
"feaB",97
"tynA",55
"paaZ",11
"paaA",2
"paaB",6
"paaC",2
"paaD",10
"paaE",21
"paaF",14
"paaG",10
"paaH",30
"paaI",8
"paaJ",56
"paaK",62
"paaX",134
"paaY",173
"ynbG",0
"ydbA",847
"ydbC",86
"ydbD",17
"ynbA",0
"ynbB",0
"ynbC",43
"ynbD",49
"azoR",278
"hrpA",1313
"ydcF",296
"aldA",764
"gapC",1449
"cybB",316
"rydC",45
"ydcA",83
"hokB",53
"mokB",0
"sokB",3
"trg",407
"ydcI",282
"ydcJ",56
"opgD",703
"ydcH",56
"rimL",77
"ydcK",63
"tehA",114
"tehB",301
"ydcL",479
"insP",55
"insQ",245
"ydcO",40
"ydcN",43
"ydcP",736
"yncJ",30
"hicA",11
"hicB",95
"ydcR",254
"ydcS",77
"ydcT",36
"ydcU",15
"ydcV",20
"patD",179
"yncL",32
"ydcX",21
"ydcY",163
"ydcZ",208
"mnaT",242
"curA",179
"mcbR",32
"yncD",149
"yncE",6058
"ansP",118
"yncG",21
"yncH",1
"rhsE",13
"ydcD",10
"yncI",14
"ydcC",3
"pptA",17
"yddH",61
"nhoA",107
"yddE",233
"narV",16
"narW",17
"narY",55
"narZ",117
"narU",9
"yddK",1
"yddL",2
"yddG",109
"fdnG",112
"fdnH",31
"fdnI",23
"yddM",81
"adhP",275
"maeA",1459
"sra",234
"bdm",10
"osmC",600
"ddpF",114
"ddpD",14
"ddpC",11
"ddpB",5
"ddpA",25
"ddpX",8
"dosP",180
"dosC",220
"yddW",200
"gadC",872
"gadB",254
"pqqL",474
"yddB",443
"yddA",109
"ydeM",11
"ydeN",55
"ydeO",5
"safA",0
"ydeP",122
"ydeQ",12
"ydeR",8
