"","x"
"yeaP",249
"yoaK",20
"yoaJ",10
"yeaQ",156
"yoaG",2
"yeaR",4
"leuE",9
"dmlR",34
"dmlA",24
"yeaV",6
"yeaW",7
"yeaX",26
"rnd",140
"fadD",112
"yeaY",144
"tsaB",148
"yoaA",161
"yoaB",237
"yoaC",29
"yoaH",32
"pabB",103
"nudL",60
"sdaA",76
"yoaD",29
"yoaE",254
"manX",1695
"manY",1470
"manZ",1844
"yobD",82
"mntP",9
"rlmA",95
"cspC",2119
"yobF",213
"yebO",149
"mgrB",26
"yobH",16
"kdgR",193
"yebQ",26
"htpX",557
"prc",1599
"proQ",1365
"msrC",392
"yebS",72
"yebT",222
"rsmF",93
"yebV",49
"yebW",11
"pphA",27
"ryeA",5
"sdsR",0
"yebY",180
"yebZ",331
"yobA",133
"holE",32
"yobB",54
"exoX",82
"ptrB",138
"yebE",46
"yebF",82
"yebG",41
"purT",538
"eda",485
"edd",155
"zwf",1063
"yebK",123
"pykA",979
"lpxM",119
"mepM",411
