"","x"
"smrA",117
"ydaM",338
"ydaN",333
"fnrS",35
"dbpA",202
"ttcA",242
"intR",30
"ydaQ",5
"ydaC",2
"ralA",0
"ralR",1
"recT",38
"recE",58
"racC",3
"ydaE",1
"kilR",2
"sieB",10
"ydaF",4
"ydaG",2
"racR",247
"ydaS",12
"ydaT",15
"ydaU",20
"ydaV",8
"ydaW",7
"rzpR",3
"rzoR",0
"trkG",147
"ynaK",6
"ydaY",14
"tmpR",28
"lomR",29
"stfR",60
"tfaR",0
"pinR",6
"ynaE",0
"ttcC",8
"uspF",264
"ompN",14
"micC",0
"pfo",656
"ydbJ",184
"hslJ",241
"ldhA",606
"ydbH",223
"ynbE",18
"ydbL",80
"feaR",45
"feaB",180
"tynA",47
"paaZ",15
"paaA",2
"paaB",2
"paaC",6
"paaD",8
"paaE",19
"paaF",12
"paaG",10
"paaH",23
"paaI",9
"paaJ",79
"paaK",74
"paaX",113
"paaY",82
"ynbG",1
"ydbA",962
"ydbC",156
"ydbD",18
"ynbA",2
"ynbB",11
"ynbC",49
"ynbD",65
"azoR",311
"hrpA",1087
"ydcF",399
"aldA",891
"gapC",1891
"cybB",412
"rydC",36
"ydcA",74
"hokB",22
"mokB",0
"sokB",0
"trg",194
"ydcI",489
"ydcJ",81
"opgD",786
"ydcH",41
"rimL",119
"ydcK",133
"tehA",115
"tehB",289
"ydcL",785
"insP",73
"insQ",307
"ydcO",36
"ydcN",28
"ydcP",419
"yncJ",17
"hicA",24
"hicB",121
"ydcR",288
"ydcS",76
"ydcT",28
"ydcU",28
"ydcV",40
"patD",356
"yncL",68
"ydcX",21
"ydcY",234
"ydcZ",157
"mnaT",246
"curA",439
"mcbR",85
"yncD",140
"yncE",13522
"ansP",70
"yncG",77
"yncH",3
"rhsE",17
"ydcD",7
"yncI",9
"ydcC",8
"pptA",61
"yddH",97
"nhoA",77
"yddE",246
"narV",27
"narW",17
"narY",48
"narZ",103
"narU",23
"yddK",10
"yddL",0
"yddG",74
"fdnG",32
"fdnH",13
"fdnI",29
"yddM",136
"adhP",1009
"maeA",1326
"sra",994
"bdm",19
"osmC",1991
"ddpF",208
"ddpD",19
"ddpC",20
"ddpB",13
"ddpA",45
"ddpX",9
"dosP",355
"dosC",477
"yddW",195
"gadC",2725
"gadB",1026
"pqqL",763
"yddB",729
"yddA",166
"ydeM",6
"ydeN",36
"ydeO",11
"safA",0
"ydeP",150
"ydeQ",15
"ydeR",4
"ydeS",9
"ydeT",15
"yneL",2
"hipA",217
"hipB",47
"yneO",391
"lsrK",113
"lsrR",75
"lsrA",14
"lsrC",7
"lsrD",17
"lsrB",25
"lsrF",56
"lsrG",21
"tam",182
"yneE",155
"uxaB",38
"yneF",32
"yneG",83
"glsB",189
"sad",358
"yneJ",86
"yneK",18
"ydeA",372
"marC",122
"marR",31
"marA",94
"marB",95
"eamA",495
"ydeE",59
"yneM",84
"mgrR",29
"dgcZ",72
"ydeI",54
"ydeJ",76
"dcp",1709
"ydfG",1004
"rspR",204
"ydfZ",139
"ydfI",69
"ydfJ",402
"ydfK",0
"pinQ",0
"tfaQ",0
"stfQ",0
"nohQ",0
"ynfO",0
"ydfO",0
"gnsB",0
"ynfN",0
"cspI",0
"rzpQ",0
"rzoQ",0
"rrrQ",0
"ydfR",0
"essQ",0
"cspB",0
"cspF",0
"quuQ",0
"ydfU",0
"rem",0
"hokD",0
"relE",0
"relB",0
"ydfV",0
"flxA",0
"intK",0
"ydfX",0
"dicC",0
"dicA",0
"ydfA",0
"ydfB",0
"ydfC",0
"dicF",0
"dicB",0
"ydfD",0
"ydfE",0
"intQ",0
"rspB",25
"rspA",21
"ynfA",23
"ynfB",433
"speG",551
"ynfC",218
"ynfD",56
"ynfE",75
"ynfF",52
"ynfG",20
"ynfH",33
"dmsD",169
"clcB",30
"ynfK",74
"mlc",327
"ynfL",68
"ynfM",110
"asr",55
"ydgU",7
"ydgD",261
"mdtI",19
"mdtJ",14
"tqsA",79
"pntB",11459
"pntA",13789
"ydgH",1909
"ydgI",33
"folM",209
"ydgC",112
"rstA",450
"rstB",439
"tus",131
"fumC",232
"fumA",415
"manA",778
"ydgA",2232
"uidC",13
"uidB",10
"uidA",13
"uidR",184
"hdhA",1261
"malI",61
"malX",58
"malY",266
"add",303
"ydgJ",738
"blr",15
"cnu",37
"ydgK",163
"rsxA",155
"rsxB",141
"rsxC",502
"rsxD",114
"rsxG",113
"rsxE",117
"nth",136
"dtpA",74
"gstA",848
"pdxY",503
"tyrS",2900
"pdxH",511
"mliC",74
"anmK",269
"slyB",3372
"slyA",749
"ydhI",28
"ydhJ",54
"ydhK",148
"sodC",304
"ydhF",278
"ydhL",22
"nemR",40
"nemA",364
"gloA",558
"rnt",166
"lhr",568
"grxD",302
"mepH",174
"sodB",116
"ydhP",178
"ynhF",40
"purR",1172
"ydhB",110
"ydhC",59
"cfa",4559
"ribC",776
"mdtK",412
"ydhQ",1107
"valV",0
"valW",7
"ydhR",691
"ydhS",339
"ydhT",55
"ydhU",32
"ydhX",29
"ydhW",15
"ydhV",24
"ydhY",6
"ydhZ",82
"pykF",4891
"lpp",28337
"ldtE",1292
"sufE",611
"sufS",2110
"sufD",2539
"sufC",1082
"sufB",3349
"sufA",709
"rydB",40
"ydiH",73
"menI",295
"ydiJ",1966
"ydiK",463
"rprA",6
"ydiL",2
"ydiM",10
"ydiN",10
"ydiB",18
"aroD",467
"ydiF",40
"ydiO",42
"ydiP",107
"ydiQ",10
"ydiR",34
"ydiS",34
"ydiT",2
"fadK",62
"ppsA",2865
"ppsR",385
"aroH",717
"ydiE",68
"ydiU",600
"ydiV",123
"nlpC",456
"btuD",383
"btuE",472
"btuC",116
"ihfA",3139
"pheT",5694
"pheS",2351
"pheM",38
"rplT",6924
"rpmI",6458
"infC",8077
"thrS",8427
"arpB",25
"yniD",0
"ydiY",114
"pfkB",823
"ydiZ",305
"yniA",721
"yniB",225
"yniC",204
"ydjM",15
"ydjN",1478
"ydjO",53
"cedA",33
"katE",2220
"chbG",126
"chbF",55
"chbR",91
"chbA",23
"chbC",31
"chbB",60
"osmE",1605
"nadE",2100
"cho",108
"ves",86
"spy",109
"astE",23
"astB",48
"astD",43
"astA",46
"astC",46
"xthA",487
"ydjX",42
"ydjY",21
"ydjZ",26
"ynjA",71
"ynjB",146
"ynjC",73
"ynjD",40
"ynjE",108
"ynjF",39
"nudG",76
"ynjH",50
"gdhA",10371
"ynjI",222
"topB",963
"selD",1675
"ydjA",776
"sppA",767
"ansA",399
"pncA",315
"ydjE",31
"ydjF",64
"ydjG",38
"ydjH",13
"ydjI",20
"ydjJ",17
"ydjK",4
"ydjL",21
"yeaC",333
"msrB",375
"gapA",30924
"yeaD",542
"yeaE",175
"mipA",1549
"yeaG",2591
"yeaH",676
"yeaI",13
"yeaJ",73
"yeaK",320
"yoaI",27
"yeaL",55
"yeaM",63
"yeaN",32
"yeaO",210
"yoaF",63
"yeaP",357
"yoaK",20
"yoaJ",17
"yeaQ",1024
"yoaG",6
"yeaR",4
"leuE",49
"dmlR",181
"dmlA",99
"yeaV",7
"yeaW",6
"yeaX",35
"rnd",209
"fadD",160
"yeaY",226
"tsaB",214
"yoaA",261
"yoaB",553
"yoaC",192
"yoaH",94
"pabB",234
"nudL",177
"sdaA",206
"yoaD",84
"yoaE",443
"manX",2807
"manY",2511
"manZ",2783
"yobD",40
"mntP",9
"rlmA",137
"cspC",3948
"yobF",524
"yebO",265
"mgrB",53
"yobH",67
"kdgR",519
"yebQ",29
"htpX",1043
"prc",2821
"proQ",2458
"msrC",1232
"yebS",140
"yebT",491
"rsmF",162
"yebV",487
"yebW",24
"pphA",69
"ryeA",20
"sdsR",0
