"","x"
"yccU",217
"hspQ",325
"rlmI",275
"yccX",42
"tusE",68
"yccA",1266
"serT",1
"hyaA",11
"hyaB",7
"hyaC",11
"hyaD",7
"hyaE",9
"hyaF",17
"cbdA",32
"cbdB",38
"cbdX",1
"appA",51
"etk",87
"etp",6
"gfcE",23
"gfcD",32
"gfcC",7
"gfcB",0
"gfcA",22
"cspH",3
"cspG",606
"ymcE",36
"gnsA",41
"yccM",19
"torS",76
"torT",24
"torR",28
"torC",1
"torA",25
"torD",34
"cbpM",112
"cbpA",247
"yccE",2
"agp",194
"yccJ",341
"wrbA",566
"ymdF",19
"rutG",33
"rutF",21
"rutE",9
"rutD",5
"rutC",7
"rutB",9
"rutA",5
"rutR",48
"putA",495
"putP",634
"efeU",635
"efeO",1172
"efeB",766
"phoH",769
"pgaD",40
"pgaC",17
"pgaB",15
"pgaA",42
"ycdT",46
"ymdE",0
"ycdU",1
"serX",0
"ghrA",499
"ycdX",466
"ycdY",421
"ycdZ",160
"csgG",146
"csgF",39
"csgE",44
"csgD",111
"csgB",4
"csgA",28
"csgC",6
"ymdA",138
"ymdB",164
"clsC",184
"opgC",77
"opgG",1143
"opgH",1510
"yceK",204
"msyB",178
"mdtG",25
"lpxL",112
"yceA",286
"yceI",271
"yceJ",18
"yceO",7
"solA",503
"bssS",155
"dinI",118
"pyrC",949
"yceB",127
"grxB",338
"mdtH",47
"rimJ",229
"yceH",356
"yceM",389
"murJ",281
"flgN",1049
"flgM",534
"flgA",603
"flgB",948
"flgC",1307
"flgD",3195
"flgE",5669
"flgF",2590
"flgG",2410
"flgH",1008
"flgI",924
"flgJ",706
"flgK",4960
"flgL",4383
"rne",3529
"yceQ",138
"rluC",255
"yceF",180
"psrD",54
"yceD",3226
"rpmF",3048
"plsX",1607
"fabH",1418
"fabD",1645
"fabG",2994
"acpP",5193
"fabF",2878
"pabC",82
"yceG",114
"tmk",180
"holB",213
"ycfH",237
"ptsG",5149
"fhuE",2919
"hinT",266
"ycfL",275
"lpoB",564
"thiK",156
"nagZ",265
"ycfP",339
"ndh",679
"ycfJ",90
"ycfQ",313
"bhsA",44
"ldtC",123
"mfd",1064
"ycfT",16
"lolC",379
"lolD",215
"lolE",372
"nagK",423
"cobB",325
"ycfZ",30
"ymfA",25
"potD",1482
"potC",236
"potB",349
"potA",477
"pepT",477
"roxA",681
"phoQ",598
"phoP",515
"purB",1328
"hflD",409
"mnmA",669
"nudJ",61
"rluE",90
"icd",23900
"ymfD",13
"ymfE",6
"lit",39
"intE",27
"xisE",3
"ymfI",57
"ymfJ",20
"cohE",139
"croE",1
"ymfL",12
"ymfM",6
"oweE",2
"aaaE",21
"ymfR",0
"beeE",5
"jayE",2
"ymfQ",4
"stfP",1
"tfaP",2
"tfaE",3
"stfE",2
"pinE",2
"mcrA",21
"icdC",5
"iraM",3
"ycgX",2
"bluR",288
"bluF",267
"ycgZ",4
"ymgA",7
"ariR",5
"ymgC",3
"ycgG",8
"ymgF",0
"ycgH",49
"ymgD",17
"ymgG",14
"ymgI",0
"ymgJ",1
"ycgI",8
"minE",356
"minD",1155
"minC",700
"ycgJ",63
"pliG",447
"ycgL",102
"ycgM",350
"ycgN",121
"hlyE",7
"umuD",6
"umuC",53
"dsbB",363
"nhaB",562
"fadR",340
"ycgB",386
"dadA",286
"dadX",188
"cvrA",315
"ldcA",149
"emtA",396
"ycgR",1391
"ymgE",34
"ycgY",8
"treA",51
"dhaM",585
"dhaL",261
"dhaK",420
"dhaR",160
"ycgV",75
"ychF",652
"pth",96
"ychH",74
"dauA",118
"prs",2137
"ispE",403
"lolB",266
"hemA",378
"prfA",259
"prmC",111
"ychQ",28
"ychA",373
"kdsA",919
"ldrA",0
"rdlA",21
"ldrB",3
"rdlB",1
"ldrC",0
"rdlC",1
"chaA",331
"chaB",22
"chaC",139
"ychN",202
"ychO",146
"narL",252
"narX",152
"narK",18
"narG",89
"narH",31
"narJ",18
"narI",15
"rttR",6
"tpr",0
"tyrV",28
"tyrT",26
"purU",667
"ychJ",158
"rssA",313
"rssB",249
"galU",961
"hns",2703
"tdk",101
"insZ",49
"adhE",6048
"ychE",31
"oppA",19727
"oppB",1346
"oppC",949
"oppD",1236
"oppF",1367
"yciU",263
"clsA",605
"yciY",49
"kch",110
"yciI",269
"tonB",906
"yciA",52
"yciB",152
"yciC",155
"ompW",69
"yciE",21
"yciF",12
"yciG",16
"trpA",1695
"trpB",2351
"trpC",1509
"trpD",1467
"trpE",1123
"trpL",11
"yciV",105
"yciO",176
"yciQ",118
"rluB",454
"btuR",183
"yciK",182
"sohB",752
"yciN",74
"topA",2279
"cysB",505
"ymiA",9
"yciX",31
"acnA",1217
"ribA",237
"pgpB",115
"yciS",116
"yciM",329
"pyrF",179
"yciH",91
"osmB",42
"yciT",304
"yciZ",35
"gmr",205
"ymiB",8
"rnb",1916
"yciW",321
"fabI",2596
"ycjD",18
"sapF",137
"sapD",173
"sapC",73
"sapB",117
"sapA",283
"ymjA",35
"puuP",119
"puuA",470
"puuD",155
"puuR",179
"puuC",271
"puuB",196
"puuE",178
"pspF",93
"pspA",190
"pspB",44
"pspC",52
"pspD",39
"pspE",77
"ycjM",2
"ycjN",6
